Lemma,Cluster
piscar,2235
olho,1055
led,3199
planejar,420
plantar,19
muda,1733
adubo,2257
hortaliça,43
policiar,982
vandalismo,965
câmeras,1618
polvilhar,2390
canela,3522
cacau,1115
doce,3909
sobremesa,453
ponderar,32
pontar,1152
marcação,823
ponta,3962
pontilhar,101
pontuar,1548
vírgula,46
exclamação,46
ponto-e-vírgula,392
parágrafo,369
popularizar,181
tendência,83
positivar,181
otimismo,912
cenário,617
possibilitar,181
conhecimentos,3116
postar,1622
publicar,1622
mídia social,198
blog,442
fórum,377
plataforma online,1098
rede social,1588
smartphone,196
poupar,1004
economizar,1004
corte de gastos,281
priorização,1906
pousar,3835
tripulação,1834
controlador de voo,1098
descida,3210
prantear,75
entes queridos,1504
pessoas próximas,1054
sofrer,3086
recordar,2354
tragédia,960
exercitar,126
preceder,590
contextualização,1906
vir antes,1504
sequência,374
precipitar,908
provocar,228
catalisar,624
precisar,1338
requerer,913
solicitar,913
predominar,590
hegemonia,1676
prevalência,83
prevalecer,590
sobressair,96
destacar-se,96
preencher,128
formulário,992
digitar,583
redigir,1622
preferir,1517
selecionar,546
pregar,2357
pastor,220
pregador,962
missionário,962
evangelista,962
sermão,3611
prejudicar,2548
agente,1844
prenunciar,1460
preocupar,650
prescrever,1497
doutor,534
terapeuta,168
presenciar,55
participantes,41
presidir,659
moderador,1804
pressentir,1460
presságio,1460
premonição,1460
pressionar,181
gatilho,209
prestar,958
pretender,96
preterir,39
prioridade,1906
predomínio,590
precauções,1869
prever,1230
projeção,175
probabilidade,83
estatísticas,440
modelos,1078
principiar,590
arranque,210
privilegiar,2548
preferências,832
prioridades,832
escolhas,1013
proceder,2198
abordagens,832
sistemas,1078
proclamar,24
pistas,1449
indícios,867
mão de obra,1098
professar,2332
crenças,81
doutrinas,94
proibir,672
decretos,24
projetar,536
proliferar,644
espécies,56
prometer,818
acordos,1078
negociações,342
relacionamentos,663
campanhas,1899
pronunciar,701
dicção,3457
propor,1987
sugestões,1942
planos,1078
proporcionar,181
disponibilização,595
prosseguir,853
metas,3041
prostrar,2522
debilidade,213
protagonizar,181
enredo,1866
armadura,742
greve,2567
reivindicação,1889
ato,1032
provar,1285
comprovação,1274
experimento,73
provir,2984
procedência,800
editorial,292
pular,1880
poça,1643
bailarino,1708
pulsar,709
batimento,709
estrela,349
punir,3505
transgressor,3493
delinquente,1952
retribuição,245
puxar,215
pôr,3603
qualificar,1250
adjetivo,652
quebrar,1009
fungo,1827
queixar,3460
querer,1893
questionar,32
quicar,1198
rachar,2104
partilha,1365
radiar,3035
radicar,1213
ranger,3268
rasgar,2992
rasgo,57
laceração,86
gilete,2252
envelope,547
raspar,2634
lixamento,727
alisamento,727
lixa,1813
espátula,3914
raspador,429
re-emitir,200
onda,1404
transmissor,175
reafirmar,1753
asseveração,800
reagir,2544
célula,886
reaparecer,1084
sumir,2282
reavaliar,265
rebater,1655
debatedor,1804
rebentar,236
recear,1142
despacho,1684
receitar,1079
farmacêutico,1497
rechear,3349
gastronomia,1
torta,3027
pastel,2749
reclamar,3460
recobrir,882
recolher,897
amostras,3094
recomendar,128
recomeçar,1275
reconhecer,128
reconquistar,320
reafirmação,1889
reconstituir,1356
esquecimento,848
recorrer,751
impasse,406
recuar,3777
passo,1156
reabilitação,764
reintegração,1745
recusar,1728
insistência,322
viabilidade,595
refazer,1275
feedback,173
referir,1548
refletir,265
refogar,2852
culinário,1
gastrônomo,1
alho,3893
reformar,1167
construtor,932
proprietário,444
escritório,750
reforçar,1753
treinador,1379
refratar,514
incidência,83
óptica,2308
refrigerar,3662
geladeira,3482
ar condicionado,990
refugiar,511
perseguição,290
asilo,2961
refutar,1655
alegação,1231
tese,2391
reger,2565
orquestra,1011
regente,921
histórico,292
dado,1268
regressar,1275
volta,3416
recomeço,1275
regulamentar,3420
estatuto,1572
regurgitar,1545
náusea,134
reinar,459
soberania,118
monarquia,118
reino,459
reiniciar,350
reinventar,1356
reiterar,1753
reforço,1753
afirmações,1942
reivindicar,181
benefícios,173
rejeitar,1728
desaprovação,3074
convites,1035
relacionar,128
relançar,1868
vendas,254
ocorrências,83
massagem,3839
relembrar,2354
fotografias,1130
esplendor,395
ouro,3604
diamante,855
remar,1158
remador,3196
remo,2726
canoa,3045
rematar,324
remontar,715
reconstruir,1356
reparar,1069
restaurar,1356
reorganizar,420
remover,50
render,3950
renunciar,1203
repassar,1365
repensar,265
repetir,47
replicar,47
repousar,1380
representar,181
reprimir,905
reproduzir,47
repuxar,712
mola,3301
tração,528
requintar,1517
sofisticação,337
elegância,337
reservar,2525
assento,1947
ingresso,664
horário,694
resgatar,1356
salvamento,603
domicílio,3997
localidade,473
resistir,650
resmungar,701
murmúrio,3976
respeitar,556
cortesia,772
dignidade,995
respirar,2532
pulmão,2873
responder,2715
inquérito,67
responsabilizar,39
ressaltar,1548
ressentir,650
humilhação,169
ressoar,1224
eco,2152
reverberação,175
auditório,2990
anfiteatro,2990
vale,2294
caverna,1734
frequências,305
vibrações,5
acústica,1620
restabelecer,181
normalidade,542
disfunção,944
medicação,1497
restar,142
saldo,2385
remanescente,83
restante,1146
sobras,1393
subtração,180
pintura,1736
monumento,760
restringir,935
resultar,228
resumir,430
síntese,1889
resumo,648
compilação,1889
abreviação,1401
condensação,908
retardar,564
demora,3434
procrastinação,213
imediatismo,800
reter,2534
aprendizagem,392
retirar,50
retirada,1444
retomar,1275
prosseguimento,1906
reanálise,67
hiato,3550
reassentamento,1745
ida,2648
retrasar,3552
retratar,430
retrucar,1655
réplica,728
contraposição,800
objeção,1231
reunir,677
congregação,832
ajuntamento,663
reutilizar,1898
redução de resíduos,1793
embalagens,1269
revelar,1997
rever,3824
revestir,882
camadas,2980
substâncias,293
revisar,3824
textos,1705
trabalhos,1078
relatórios,440
revitalizar,1356
iniciativas,832
reviver,2354
reconexão,1153
revoltar,1123
sociedades,832
desigualdade,2666
revolucionar,181
mudança social,1588
rezar,3772
orações,1717
prática religiosa,1468
rir,1400
piadas,873
situações engraçadas,1054
comédia,1001
expressão de alegria,1098
interação social,1588
rodar,2557
movimento circular,1098
giro,1163
funcionamento de máquina,1654
rodear,60
aproximar-se,941
rodopiar,849
roer,2379
dentes,999
rolar,2808
romper,1009
rondar,1953
vigiar,620
rotular,3773
embalagem,1269
roubar,144
furto,926
assalto,1427
roçar,3304
mato,3234
capina,2888
saber,3806
degustação,453
sacar,3951
caixa eletrônico,1043
sacudir,1087
sair,3941
salgar,3816
salientar,1548
subjetividade,800
saltar,1880
esportes,160
atletismo,160
parques,527
trampolim,1076
sambar,2900
samba,1967
dançarino,1708
brasileiro,1692
folião,3362
sangrar,371
incisão,3606
saraivar,200
granizo,3915
satisfazer,320
saudar,753
secar,3103
secador,581
sediar,1573
seguir,207
alça,1383
sacola,685
semear,19
plantio,1732
arado,2826
sentar,2546
poltrona,509
sentir,66
separar,2010
divisória,790
itens,1438
sequestrar,734
extorsão,290
chantagem,290
refém,1725
essência,800
caracterização,1906
serpear,200
percurso,1494
serpentear,200
significar,1641
simbolizar,1641
ícone,1949
emblema,1155
simpatizar,1604
afinidade,754
simular,1397
falsificação,3114
situar,3226
soar,1169
sobrar,1393
sobra,1393
resto,1146
superávit,423
notoriedade,323
proeminência,323
sobreviver,650
espécie,681
instinto de sobrevivência,1098
socar,1533
praticante de artes marciais,1098
punho,1702
saco de pancadas,281
socorrer,206
paramédico,1571
primeiros socorros,1504
chamado de emergência,1098
pedido de ajuda,1654
sinal de socorro,1654
sofisticar,1517
modernidade,800
complexidade,305
requinte,337
soltar,3820
prisioneiro,73
aprisionamento,73
soluçar,1144
riso,3575
somar,1932
contabilidade,750
sondar,2317
satélite,520
sonda,2376
profundidade,380
sonhar,842
soprar,139
brisa,163
pulmões,2873
sorrir,3972
sossegar,2744
alma,2143
suar,825
glândulas,3850
subdividir,2010
seções,957
segmentos,404
subestimar,556
subir,1028
alpinista,1840
escalador,1840
escalada,1522
colina,1549
sublinhar,1548
submergir,569
afogamento,341
mergulho,569
exploração submarina,1588
submeter,483
subornar,480
subscrever,556
substanciar,556
substantivar,392
nominalização,392
gramática,733
verbo,2216
substituir,39
suceder,1242
sufocar,905
asfixia,341
falta de ar,611
sugerir,1987
mancha,3030
sujeira,240
sujeitar,483
superar,3414
supor,1859
suportar,650
surfar,1610
verão,1415
prancha,3697
surgir,997
surtar,3347
descontrole,2002
desabafo,192
adolescente,264
suscitar,228
polêmica,216
suspeitar,32
indício,867
suspender,935
suspirar,331
gente,319
pilar,1062
suturar,2054
pinça,2310
tabelar,3056
planilha,415
tacar,2414
tampar,2922
pote,1516
vaso,3431
vedação,592
fecho,3174
tampão,3761
tapar,2922
tapear,3236
mentiras,1178
enganos,1178
artimanhas,1912
falsidades,1178
truques,297
ingênuos,0
tardar,893
passageiros,587
usuários,3882
imprevistos,848
atrasos,2705
agendamento,839
tecer,2804
malha,1674
teares,2898
agulhas,1014
teimar,1893
obstinação,322
teimosia,322
telefonar,545
celular,196
temer,1142
temperar,367
ervas,3224
especiarias,3355
tender,2468
propensão,83
contextos,752
tentar,1893
equipes,3180
terceirizar,39
reduzir custos,1793
focar no core business,1098
especialização,633
testar,1762
testemunhar,55
tirar,719
tocar,946
palheta,1186
batuta,898
instrumentista,921
pianista,921
guitarrista,921
tomar,2123
torcer,690
fã,3425
entusiasta,300
adepto,300
tornar,2190
torrar,2101
carbonização,908
tostar,3413
torturar,703
prisioneiros,73
inimigos,1876
dissidentes,847
opositores,847
reféns,1725
tossir,3649
totalizar,3424
soma,3494
contabilizar,128
traduzir,27
conversão,224
línguas,1502
idiomas,1502
tragar,3075
inalar,3911
narguilé,1577
trair,3803
infidelidade,613
deslealdade,613
alianças,1550
promessas,818
trancar,1188
cadeado,1188
tranca,1188
ferrolho,1188
tranquilizar,941
confortar,941
apaziguar,2744
serenar,2744
transar,2866
sexo,2078
transferir,1365
transmitir,1365
canal,3217
transplantar,1375
órgão,3283
transportar,1365
trazer,1524
traçar,684
coach,3605
tremer,3265
trepar,2866
rocha,11
macaco,1557
trepadeira,43
triar,897
tricotar,548
suéter,2172
cachecol,548
meia,3227
blusa,544
gorro,1105
trilhar,1977
peregrinação,643
trincar,3952
fragilidade,213
triplicar,2856
intensificação,1906
trocar,1826
serviços,110
trovejar,7
relâmpago,395
tumultuar,1719
turbinar,809
potencializar,181
ultrapassar,1279
urinar,745
rim,1983
bexiga,2935
sistema urinário,3389
mamíferos,1474
seres vivos,1504
função renal,198
consumo de líquidos,1504
metabolismo,494
processos corporais,1504
operações,342
beneficiários,444
vacinar,1895
medida preventiva,1468
saúde pública,942
vadear,2994
córrego,76
vagar,1857
andarilho,643
peregrino,643
vaguear,1857
vaiar,3932
valer,1493
relevância,323
sacrifício,1374
validar,1241
autenticação,595
legitimação,1889
valorizar,556
estima,599
vandalizar,1719
estrago,3558
instalações,832
espaço público,1795
variar,497
diversidade,305
variedade,305
varrer,486
remoção de sujeira,1054
vassoura,1212
aspirador,993
rodo,2026
detritos,743
vasculhar,97
lupa,2930
cômodo,1432
velar,1664
resguardo,2387
falecido,922
velejar,3200
iate,1015
vencer,3626
vender,1408
ver,3386
óculos,1225
verbalizar,1976
vergar,3159
curvatura,1085
barra,1425
checagem,67
vestir,3716
uniforme,1589
viabilizar,181
vibrar,2394
membrana,4
vingar,819
revanche,819
retaliação,290
desforra,819
injúria,2850
violar,2404
vir,3059
virar,1630
esquina,952
visar,1888
visitar,938
excursão,1319
museu,2100
vislumbrar,2350
vivenciar,55
voar,1856
horizonte,1887
revisita,1343
votar,1280
democracia,1676
referendo,846
votante,1464
xingar,316
zelar,3044
guardião,945
zelador,3461
responsável,39
protetor,945
Libras,2351
surdos,994
intérpretes,41
educadores,41
comunidade surda,1468
professores,41
Língua Brasileira de Sinais,1008
TV,2303
séries,1823
noticiários,1592
comerciais,2157
escritórios,750
hotéis,250
notícias,1592
Terra,2685
ecossistema,979
humanos,1474
UTI,1999
enfermagem,1571
hospitais,1026
clínicas,242
centros médicos,1504
unidades de saúde,1098
instituições de saúde,1098
cuidados intensivos,1504
emergências,1318
abade,2725
mosteiro,253
comunidade religiosa,1468
ordem monástica,942
convento,253
abadia,253
abajur,1995
abelha,306
mel,1131
cera,3152
própolis,1593
geleia real,198
polinização,312
colmeias,70
jardins,527
campos,2330
florestas,193
cidades,1045
zonas rurais,1054
montanhas,1041
áreas urbanas,1054
abusador,919
relações abusivas,1054
contextos de violência,1098
situações de poder,1054
ambientes tóxicos,1504
dinâmicas de controle,1098
academia,748
fitness,748
bairros,1742
centros esportivos,1504
clubes,1357
escolas,1428
academia de dança,611
centros culturais,1504
academia de dança do ventre,611
academia de ginástica,611
universidades,832
instituições de ensino,281
centros de pesquisa,1654
bibliotecas,750
conferências,1097
acampamento,64
praias,385
áreas rurais,1054
acarajé,3934
Bahia,3655
feiras,1151
mercados,404
restaurantes,609
ruas,2692
eventos culturais,1504
acentuação,733
ortografia,733
pronúncia,733
lojas,254
guarda-roupas,649
desfiles,589
resort,1124
albergue,116
hospedagem,250
acompanhante,1252
companhia,2214
acordeão,303
banda,2043
grupo musical,990
conjunto,834
serenata,872
concerto,339
pacto,3862
acrópole,3613
Atenas,418
Grécia,582
adega,1229
vinícola,328
bodega,328
cave,2441
vinhos,1192
bebidas,606
adequação postural,1588
ergonomia,592
traje,3105
adivinha,1460
charada,1309
adivinhação,1460
oráculo,461
misticismo,460
esoterismo,460
sintaxe,733
administrador judicial,1098
juventude,264
puberdade,2170
assentos,1947
cabine,1226
bagageiro,1226
hangar,176
aeromoça,1538
aviônicos,526
torre de controle,1654
companhia aérea,942
check-in,2564
desembarque,1071
aeroporto regional,1795
voo doméstico,990
aeronave menor,281
afro-brasileiro,1692
ancestralidade,800
Brasil,510
historiador,2604
agente duplo,1654
infiltração,3114
conspiração,3114
agência,1278
gangue,16
comunidade rural,1468
setor agrícola,1468
fazenda,3072
agropecuária,979
zona rural,611
exportação,1682
agrotóxico,89
produção agrícola,1468
sistema de cultivo,3389
manejo agrícola,1468
controle de pragas,1098
proteção de culturas,1588
aumento de produtividade,1588
aguardente,2592
festividade,145
destilação,2592
Portugal,954
América Latina,252
centro urbano,1043
área comercial,1468
agência de aluguel de carros,1008
setor de serviços,1795
indústria de turismo,1098
mercado de aluguel,1795
agência de entretenimento,1008
indústria cultural,1468
mercado de entretenimento,1098
área cultural,198
agência de turismo,1008
pacote turístico,990
mercado de viagens,1054
área turística,1468
agência de viagens a pontos turísticos,1008
agência de viagens de helicóptero,1008
ala,1050
alagoano,1924
Alagoas,1924
nordeste,1884
alameda,1342
área urbana,942
área residencial,1468
mochileiros,116
hóspedes,928
peregrinos,643
aldeia,2169
povoado,1182
vila,3610
assentamento,1745
habitantes,41
indígenas,693
camponeses,41
aldeões,119
alemão,580
nacionalidade,800
etnia,424
Alemanha,954
Europa,510
alfaiate,1367
profissão,1913
ofício,2610
costureiro,1367
roupas,1235
máquina de costura,611
alga,3977
ser vivo,1567
flora,122
cosméticos,286
biocombustível,3184
algarismo,230
dígito,230
caractere,244
sistema numérico,3389
equação,784
contagem,67
aritmética,3096
anel,3535
alienígena,1917
extraterrestre,1917
ficção,3720
galáxia,1315
mantimento,738
alimento gorduroso,1043
obesidade,275
colesterol,112
doenças cardíacas,362
ganho de peso,1793
problemas de saúde,1098
calorias,3464
almofada,332
mobiliário,175
comodidade,337
repasto,700
meio-dia,1350
alpiste,2518
grão,2000
ração,2956
aves,2657
altar,2035
santuário,352
sistema de som,3389
aparelho de som,1654
equipamento de áudio,1654
alumínio,626
discente,208
sala de aula,611
amaciante,1940
amaciamento,727
amarelo,1025
tonalidade,521
matiz,3228
pigmento,1535
nuance,521
ambientalista,979
proteção ambiental,1468
ativismo,845
educação ambiental,1468
habitat,193
ambulante,407
comerciante,670
ambulatório,1026
unidade de saúde,1098
centro médico,1795
posto de saúde,281
serviço de saúde,1098
técnico de enfermagem,1098
assistente social,1588
ambulância,1571
transporte de pacientes,1098
emergências médicas,1054
atendimento pré-hospitalar,1098
amendoim,439
leguminosa,43
fruto,1402
produção de óleo,1468
confeitaria,386
lanches,3830
americano,1692
Estados Unidos,1504
amianto,2292
risco à saúde,1098
isolamento térmico,1043
construção civil,1468
fabricação de telhas,1054
produção de cimento,1468
amor perfeito,990
romantismo,976
amônia,3287
composto,834
toxicidade,89
fertilização,877
produção de produtos químicos,1468
andador,2706
fisioterapia,837
apêndice,645
suplemento,494
angiosperma,43
botânica,2906
anilha,2893
biologia,2196
fauna,122
zoologia,2196
anis,1579
erva,1443
aromatização,908
anjo,2440
ser celestial,1588
bondade,1877
mitologia,2196
escrito,358
caderno,720
ante-sala,1022
consultório,1026
sala de espera,611
hall,2397
área de transição,611
antecâmara,1022
palácio,2874
castelo,2874
mansão,3440
câmara,3334
antiguidade,901
arqueologia,2196
civilização,901
Roma,2489
Egito,2490
Mesopotâmia,901
China antiga,1588
antiquário,2365
antiguidades,2365
móveis antigos,1504
coleções,1828
objetos históricos,1504
restaurador,764
curador,3293
antonímia,1238
linguística,392
semântica,733
opostos,1981
significados,1641
dicionário,2665
estudo de línguas,1654
análise de texto,1654
antropólogo,2604
etnografia,2196
antropologia,2196
amplificação de som,1098
melhoria auditiva,1588
assistência auditiva,1588
pessoa com deficiência auditiva,362
apart-hotel,1446
residência temporária,1588
executivo,629
condomínio,1446
residencial,473
lar,1919
aposentadoria,159
previdência,159
segurança social,1588
emprego,1221
apóstolo,962
cristianismo,1166
evangelho,962
pregação,962
evangelização,962
aquário,2871
vida marinha,942
plantas aquáticas,1054
zoológico,656
centro de pesquisa,1654
loja de animais,1008
pressurização,908
climatização,1470
controle de temperatura,281
ar livre,895
espaço aberto,990
piquenique,884
aranha,2959
teia,2193
predador,312
aranha venenosa,198
aranha doméstica,198
araponga,2880
ave,3119
mata atlântica,1043
habitat natural,198
arbusto,2545
folhagem,43
cobertura vegetal,198
vegetação,193
arco e flecha,198
flecha,2368
arqueiro,338
arco-íris,395
refração,1807
deserto,3833
material de construção,1098
fabricação de vidro,1054
arena,3245
complexo esportivo,990
matemático,3096
arma branca,198
duelo,1537
espadachim,338
arma de fogo,198
armazém,671
arnica,1697
medicina alternativa,1468
herbalista,3768
arqueólogo,2144
sítio arqueológico,1504
arquidiocese,1964
paróquias,1964
arcebispo,1964
arquipélago,1317
ilhas,99
edifícios,1846
arranha-céu,1846
andares,1846
paisagem urbana,942
arrastão,2861
pescadores,41
pesca,3186
arrecife,697
biólogo marinho,281
corais,3381
arroz,774
arroz-doce,732
cravo,2316
festa junina,942
culinária brasileira,1468
arte de rua,198
muros,2897
paredes,3530
cultura urbana,942
movimento artístico,990
manifestação cultural,1588
artes plásticas,1054
gravura,1736
escultores,1092
pintores,1092
museus,527
galerias,637
exposições,637
peças únicas,1054
manualidade,800
impressos,1194
performances,1110
estúdios,682
palcos,1107
artéria,1867
cardiologia,837
sistema circulatório,3389
corpo humano,1043
asa-delta,1972
voo livre,895
rodovias,452
vias,3579
betume,2741
agregados,698
pavimentação,9
estradas,452
praticidade,337
eletrodoméstico,175
remover sujeira,1054
assaltante,1427
locais públicos,1504
veículos,146
auditórios,2990
executivos,41
gerentes,41
assistência médica,198
médicos,0
sistema de saúde,3389
associado,137
associação social,1588
astrofísica,3612
galáxias,1315
astrônomos,3612
astronomia,3612
astronauta,603
missões,259
naves,1377
estações espaciais,1054
centros de treinamento,1654
agências espaciais,1054
NASA,2941
ESA,2679
astrólogo,1227
astrologia,1227
horóscopo,1227
signos,244
consultórios,1026
revistas,1592
interessados,657
atabaque,12
instrumento musical,1654
percussão,1011
tambor,12
instrumento de percussão,1654
batuque,12
capoeira,92
candomblé,1209
rituais,835
cerimônias,145
atacadista,326
fornecedores,404
distribuidores,404
mercadorias,1682
lojistas,404
comerciantes,41
varejistas,404
supermercados,386
modistas,1092
atendente,925
pacientes,843
atestado,1274
campeonatos,579
torneios,579
eventos esportivos,1504
condição física,1468
teatros,1965
novelas,1823
elenco,666
audiodescrição,681
deficientes visuais,1504
pessoas com deficiência,362
ouvintes,994
palestras,1097
aumentativo,652
morfologia,305
austríaco,1214
Áustria,954
cidadania,151
auto-estrada,452
sistema viário,3389
rede de transporte,1098
rodovia,452
via expressa,1793
frota,1044
indústria automotiva,1468
artigos,1705
conteúdos,408
órgãos,1193
funções,1634
auxiliar de professor,1654
avental,858
equipamento de segurança,1654
roupa de trabalho,198
barreira contra sujeira,1098
aula de arte,611
padeiro,1750
açougueiro,474
pintor,42
nômade,1007
desbravador,670
descobridor,901
asa,2976
fuselagem,526
trem de pouso,1795
pista de pouso,611
terminal aéreo,1795
aeródromo,716
transporte aéreo,1098
azeite,3497
dieta mediterrânea,281
alimentação saudável,198
oliveira,612
oliva,3723
salada,828
preparação de alimentos,1504
azulejo,3858
banheiro,359
fachada,3840
cerâmica,311
porcelana,311
material cerâmico,1043
barro,3402
design de interiores,281
açaiteria,1567
shopping,3407
praça de alimentação,1008
centro comercial,198
balconista,474
aéreo,1141
tráfego aéreo,1795
espaço aéreo,990
babosa,1849
plantações,270
suculenta,43
cosmético,286
medicinal,692
babá eletrônica,1043
monitor,1726
pais,451
mães,3965
cuidadores,1825
bacia,2477
lavanderia,315
aço,2395
bacilo,2392
microorganismo,2114
germes,354
patógeno,2114
micróbio,2114
backpacker,116
mochileiro,116
baguete,1228
padaria,386
supermercado,386
mercearia,386
trigo,256
fermento,1223
sanduíche,623
vizinhança,473
município,262
chumbo,3158
cobre,1547
latão,3869
bala perdida,198
tiroteio,2580
eletrônicos,175
quantificar,128
farmácia,286
baleia,1240
animal marinho,362
cetáceo,1352
fauna marinha,942
ecossistema marinho,362
grandeza,305
golfinho,313
orca,2124
balneário,1729
local turístico,990
destino de férias,1054
litoral,385
costa,385
banhista,3708
veranista,1752
balsa,2180
embarcação,1834
transporte aquático,1098
hélio,2089
ar quente,1043
bananeira,1596
potássio,361
vitamina,1543
banana frita,198
iguaria,3966
acompanhamento,39
banca,1568
instituição financeira,1468
banco de transferência,1098
bancário,730
bandagem,1406
material médico,1795
curativo,1955
estandarte,1616
praça,933
bandeja,519
garçom,450
bandido,1952
fora-da-lei,1952
bangalô,3890
saneamento,292
banheiro privativo,1795
suíte,2362
natação,651
salva-vidas,603
banner,2513
marketing,2157
publicitário,2157
baobá,1333
África,510
Madagascar,252
savanas,1799
mesas,124
cadeiras,509
barman,450
bartender,1538
happy hour,1567
bar-restaurante,609
barata,1671
praga,533
bicho,2062
inseticida,3229
veneno,3644
infestação,2698
nojo,3471
restos de comida,1504
porão,3762
barbeador,1256
barbeiro,2262
barba,2371
cuidado pessoal,1588
rotina matinal,198
barbear,1256
depilar,1956
aparar,540
meio de locomoção,1098
fibra de vidro,1043
coquetel,746
balcão,2606
pub,3047
preparar bebidas,1054
atender clientes,1504
misturar coquetéis,1504
trabalhar no bar,1793
ferro,2156
barra de apoio,281
chuveiro,581
pessoa com deficiência,362
tenda,896
camping,64
nylon,3702
poliéster,1666
campista,3515
bacia hidrográfica,1468
geração de energia,1468
controle de enchentes,1098
armazenamento de água,1098
barraquinha,407
quiosque,3407
estande,1810
ponto de venda,1654
barreado,732
caldo,3077
especialidade,633
Paraná,3110
minerais,543
sedimentos,2832
ceramista,42
escultor,42
tijolo,1680
barrote,1836
carpinteiro,474
alicerce,1374
projetista,1852
bastão,2988
basílica,272
mármore,1080
visitação,1693
bata,1601
vestimenta,1589
linho,3377
tubérculo,43
amido,3138
carboidrato,293
mineral,1090
batata-frita,623
fast-food,623
lanchonete,609
fritura,3336
comida rápida,198
cardápio,427
petisco,904
guarnição,1834
batista,3247
protestantismo,1166
denominação,1401
grupo religioso,990
cultuar,810
evangelizar,962
cristão,831
protestante,1166
baía,1120
turistar,116
ancorar,688
beato,1483
santidade,995
santo,2103
bebedouro,702
refresco,857
local público,1795
recreio,3703
hidratar,1530
consumir água,1793
saciar a sede,281
bebida alcoólica,198
creche,1428
berçário,260
infante,3136
recém-nascido,922
menino,280
menina,3710
beco,1479
transitar,1279
beco sem saída,1654
beduíno,2969
tribo,125
nomadismo,1007
grupo étnico,990
migrar,3654
pastorar,200
habitante do deserto,281
cultural,45
beija-flor,2970
grupo de aves,990
polinizar,312
alimentar-se,650
polinizador,312
beleza natural,198
bengala,3936
bengala eletrônica,1043
beringela,499
bermuda,911
boutique,2134
guarda-roupa,649
berço,1761
besouro,1057
asas,3525
antenas,520
exoesqueleto,1500
patas,3750
coleóptero,3442
jornais,1592
manuscritos,440
leitores,41
bibliotecários,750
bibliotecário,750
bicarbonato,2550
farmácias,286
cozinhas,3764
produtos de limpeza,1098
receitas,1879
composto químico,990
neutralização,663
zoológicos,656
fazendas,3072
bicho de pelúcia,198
lojas de brinquedos,1008
quartos infantis,1054
companheiro,1996
ciclovias,833
lojas de esportes,1008
garagens,1403
meio de transporte,1098
artefato,698
bicicletaria,1706
bicicletas,1706
peças,373
ciclistas,833
mecânicos,0
entusiastas,41
técnicos,0
bico de mamadeira,281
lojas de bebês,1008
creches,1428
lares,2474
amamentação,1619
bife,3353
açougues,876
churrascarias,609
bile,1780
sistema digestivo,3389
vesícula,387
fígado,3042
vesícula biliar,281
bilhete,547
correios,25
transportes,716
recado,949
bilirrubina,714
sistema sanguíneo,3389
células,886
biquíni,2762
lojas de roupas,1008
resorts,1124
banho de sol,281
birosca,562
vizinhanças,473
birô,2587
agências,1278
escrituração,750
biscoito,1542
padarias,876
cafés,3630
bispo,2344
diocese,1964
catedral,272
paróquia,1964
clero,2794
líder religioso,1098
clérigo,1920
bissexual,632
sexualidade,877
orientação sexual,1588
bisteca,778
bistrô,3809
refeições,427
encontros,1097
jantares,1097
biólogo,1016
microscópio,218
outono,1415
boate,2270
DJ,2121
bobó,2496
camarão,449
mandioca,1176
leite de coco,1043
Nordeste,1884
bode,723
caprino,662
pecuária,979
cabra,2497
ovelha,3441
bodoque,1645
bovino,662
pastagem,270
vaca,1551
touro,3665
couro,3427
boina,3121
feltro,548
boite,669
esfera,14
treino,1293
bolacha,1542
café da manhã,281
lanche da tarde,281
boletim,68
informativo,292
redator,2378
editor,2378
boletim de emergência,1654
boletim de ocorrência,1654
delegado,768
escrivão,2046
bolinho,127
ovo,3248
boliviano,1730
Bolívia,510
América do Sul,252
latino-americano,380
bomba,1628
bombardear,1279
bombardino,1011
ferramenta de ensino,281
meio de expressão,1098
elemento de orquestra,1654
componente de banda,1098
bandas marciais,1054
orquestras,1011
estudantes de música,1098
professores de música,1098
extintor,1170
equipamento de proteção,1098
caminhão de bombeiros,1098
incêndios,1170
resgates,206
bomboniere,453
doces,1506
chocolates,439
balas,3339
guloseimas,453
confeitos,453
loja de conveniência,1008
bonbonnière,453
trufas,796
brinde,1521
souvenir,1416
bonde,2380
transporte público,1098
veículo urbano,1043
transporte turístico,1098
alternativa de mobilidade,1098
boneca,2483
psicólogos,0
boneco de olinda,1654
folclore,976
festas populares,942
comemorações,145
boné,1960
acessório de moda,1654
proteção solar,1588
identificação de grupo,1098
item esportivo,990
elemento de estilo,1654
bookstore,23
artigos de papelaria,1098
materiais de estudo,1654
centro da cidade,990
borboleta,1791
reserva natural,198
bordel,2349
prostituição,3114
entretenimento adulto,1098
luxúria,504
tabu,2255
zona urbana,942
bairro boêmio,1795
cidade grande,1468
região central,942
fábrica,749
loja de material escolar,1008
material de apagamento,1654
componente industrial,1795
isolante,1785
produto escolar,1043
elemento de vedação,1098
bosque,233
área rural,611
zona de preservação,611
região montanhosa,942
boteco,1413
cultura popular,1468
rua movimentada,1588
zona boêmia,611
botequim,1413
cultura local,1795
painel,1340
elemento de moda,1654
componente eletrônico,1043
produtos de luxo,1098
bairro nobre,1795
rua de comércio,1098
zona turística,1468
braille,1771
sistema de leitura,3389
ferramenta de acessibilidade,1098
meio de comunicação,1098
